x:-253.80,y:30.80,z:891.00,t:289258
x:39.00,y:-3.80,z:-405.40,t:289262
x:209.60,y:636.60,z:63.00,t:289266
x:-307.80,y:-476.80,z:437.00,t:289270
x:398.20,y:-205.40,z:-705.60,t:289274
x:-201.00,y:-129.40,z:410.40,t:289278
x:-346.40,y:-621.60,z:-231.60,t:289283
x:192.20,y:317.80,z:-136.20,t:289287
x:-384.20,y:-313.40,z:638.80,t:289291
x:480.40,y:-294.60,z:-326.00,t:289295
x:240.20,y:750.20,z:210.20,t:289298
x:-610.20,y:-886.80,z:315.80,t:289302
x:547.20,y:601.40,z:-234.60,t:289306
x:-524.80,y:207.80,z:84.60,t:289310
x:-136.40,y:-740.60,z:-72.80,t:289314
x:34.00,y:788.60,z:-209.00,t:289318
x:-376.80,y:-537.20,z:256.00,t:289323
x:608.60,y:-248.00,z:-51.60,t:289327
x:305.00,y:554.60,z:158.20,t:289331
x:-390.40,y:-723.80,z:215.80,t:289335
x:141.00,y:811.20,z:-363.60,t:289339
x:222.40,y:589.60,z:-428.00,t:289343
x:-234.80,y:255.00,z:296.00,t:289347
x:-143.80,y:-547.80,z:-296.40,t:289350
x:196.20,y:431.00,z:61.20,t:289354
x:-150.20,y:-473.80,z:263.80,t:289358
x:223.20,y:-406.00,z:-327.20,t:289362
x:88.80,y:315.60,z:234.20,t:289367
x:-234.20,y:-476.20,z:48.40,t:289371
x:235.80,y:236.00,z:-270.80,t:289375
x:-94.80,y:426.80,z:251.00,t:289379
x:-157.20,y:-274.00,z:-120.20,t:289383
x:296.40,y:436.80,z:-496.80,t:289387
x:-284.40,y:-260.60,z:707.60,t:289391
x:77.00,y:-136.40,z:-418.60,t:289395
x:339.00,y:482.00,z:-214.00,t:289398
x:-386.60,y:-694.80,z:455.60,t:289402
x:200.60,y:-159.60,z:-359.60,t:289406
x:129.80,y:408.60,z:225.20,t:289411
x:-340.80,y:-556.80,z:247.20,t:289415
x:329.20,y:256.80,z:-470.00,t:289419
x:-41.80,y:-132.80,z:548.00,t:289423
x:-207.20,y:-711.20,z:-155.60,t:289427
x:269.00,y:624.40,z:-207.20,t:289431
x:-301.80,y:-138.80,z:161.60,t:289435
x:135.80,y:-431.60,z:-248.20,t:289439
x:192.40,y:402.00,z:216.60,t:289443
x:-198.80,y:-269.00,z:83.60,t:289447
x:363.80,y:74.20,z:-211.80,t:289451
x:-40.60,y:459.00,z:301.60,t:289455
x:-307.40,y:-269.60,z:-235.60,t:289459
x:360.00,y:392.80,z:-343.40,t:289463
x:-213.20,y:-44.80,z:345.80,t:289467
x:-286.60,y:-451.40,z:-217.40,t:289471
x:2.20,y:699.00,z:54.20,t:289475
x:-435.80,y:-234.00,z:390.60,t:289479
x:680.00,y:-281.00,z:-174.80,t:289483
x:519.80,y:42.00,z:299.60,t:289487
x:-361.00,y:-823.60,z:353.80,t:289491
x:83.20,y:359.40,z:-296.40,t:289495
x:-391.20,y:905.60,z:52.80,t:289499
x:-238.80,y:-379.80,z:49.60,t:289503
x:443.00,y:245.80,z:-162.40,t:289507
x:-374.80,y:-90.60,z:339.00,t:289511
x:257.60,y:-268.20,z:-219.20,t:289515
x:519.40,y:674.80,z:2.60,t:289519
x:-322.20,y:-560.20,z:351.60,t:289523
