x:854.80,y:-574.40,z:575.00,t:24625
x:370.80,y:-452.40,z:552.40,t:24629
x:-125.80,y:-7.00,z:194.20,t:24633
x:-468.20,y:574.60,z:-266.00,t:24637
x:-679.00,y:505.40,z:-663.40,t:24641
x:-625.80,y:-50.00,z:-538.60,t:24644
x:-288.80,y:-158.20,z:-403.60,t:24648
x:-251.40,y:-45.00,z:38.80,t:24652
x:87.40,y:-45.80,z:293.40,t:24656
x:-7.20,y:-285.80,z:574.40,t:24660
x:-257.20,y:-89.40,z:589.80,t:24665
x:-230.20,y:-18.60,z:288.80,t:24668
x:-78.40,y:-279.60,z:52.40,t:24672
x:137.40,y:-702.20,z:80.60,t:24676
x:579.00,y:-818.40,z:-39.40,t:24680
x:713.80,y:-648.60,z:21.20,t:24684
x:685.20,y:-368.40,z:-35.60,t:24688
x:762.20,y:-854.80,z:525.60,t:24691
x:102.80,y:-733.80,z:x5438
:-478.40,t:35427
x:-158.80,y:110.00,z:-80.20,t:35430
x:147.00,y:-63.00,z:147.40,t:35434
x:228.20,y:-197.80,z:459.00,t:35438
x:52.00,y:-258.20,z:414.00,t:35442
x:-278.80,y:-39.60,z:409.60,t:35446
x:-216.20,y:95.60,z:99.80,t:35450
x:101.60,y:-73.60,z:4.40,t:35453
x:268.60,y:-496.40,z:-50.00,t:35458
x:616.00,y:-584.60,z:-34.60,t:35462
x:608.40,y:-716.80,z:60.20,t:35466
x:68.20,y:-737.00,z:56.60,t:35470
x:-600.00,y:-281.00,z:-195.00,t:35473
x:-736.20,y:607.20,z:-455.00,t:35477
x:-387.40,y:1038.60,z:-603.20,t:35481
x:71.80,y:664.80,z:-459.20,t:35485
x:535.60,y:-176.20,z:-78.40,t:35489
x:522.40,y:-876.00,z:644.20,t:35493
x:420.80,y:-746.60,z:682.60,t:35497
x:31.40,y:-225.40,z:413.20,t:35502
x:306.00,y:-175.20,z:419.20,t:35506
x:394.80,y:-163.00,z:506.00,t:35509
x:150.20,y:-73.00,z:444.40,t:35513
x:-20.20,y:-37.40,z:315.60,t:35517
x:72.40,y:50.00,z:32.20,t:35521
x:213.80,y:-268.20,z:-226.40,t:35525
x:480.20,y:-550.40,z:-147.40,t:35529
x:449.20,y:-487.80,z:-322.00,t:35532
x:83.80,y:-289.00,z:-318.60,t:35536
x:-451.40,y:-284.60,z:-156.40,t:35540
x:-728.60,y:185.40,z:-143.80,t:35545
x:-566.60,y:976.80,z:-530.40,t:35549
x:84.00,y:819.40,z:-282.80,t:35553
x:551.40,y:-214.60,z:336.20,t:35557
x:722.80,y:-718.20,z:638.80,t:35561
x:676.00,y:-635.20,z:874.00,t:35565
x:277.00,y:-443.00,z:714.40,t:35568
x:86.60,y:-108.80,z:32.20,t:35572
x:-103.00,y:118.40,z:-346.20,t:35576
x:-369.00,y:24.60,z:-421.20,t:35580
x:-298.20,y:52.80,z:-617.20,t:35585
x:-18.80,y:147.80,z:-449.40,t:35589
