x:220.60,y:-238.20,z:341.80,t:42361
x:-108.80,y:185.60,z:-140.60,t:42365
x:-292.60,y:290.80,z:-598.40,t:42370
x:-410.80,y:143.40,z:-617.00,t:42374
x:-324.40,y:17.40,z:-501.60,t:42377
x:31.40,y:108.60,z:-276.40,t:42381
x:184.80,y:72.80,z:-12.00,t:42385
x:-60.40,y:73.80,z:304.80,t:42389
x:41.60,y:-95.80,z:-387.00,t:42393
x:-287.60,y:29.60,z:-32.20,t:42396
x:-526.60,y:389.20,z:218.60,t:42400
x:-539.00,y:680.40,z:409.40,t:42404
x:-352.00,y:819.80,z:303.20,t:42408
x:66.60,y:777.20,z:-19.60,t:42413
x:709.20,y:176.20,z:4.20,t:42417
x:751.80,y:-677.00,z:526.00,t:42420
x:317.40,y:-799.80,z:593.60,t:42424
x:-37.80,y:-273.40,z:183.60,t:42428
x:-467.40,y:429.40,z:-244.00,t:42432
x:-444.40,y:871.00,z:-678.40,t:42436
x:-279.40,y:725.60,z:-759.40,t:42440
x:-24.80,y:131.80,z:-229.00,t:42444
x:52.00,y:-200.20,z:98.20,t:42448
x:242.40,y:-229.00,z:334.60,t:42451
x:109.80,y:-323.00,z:463.60,t:42456
x:-249.00,y:-106.60,z:398.60,t:42460
x:-321.00,y:356.00,z:128.00,t:42464
x:-98.40,y:374.40,z:-124.40,t:42468
x:106.00,y:58.60,z:-234.00,t:42472
x:-310.00,y:659.00,z:241.00,t:42476
x:92.00,y:432.00,z:-85.40,t:42479
x:574.20,y:4.20,z:-93.40,t:42483
x:756.60,y:-663.40,z:301.60,t:42487
x:236.80,y:-1094.00,z:506.20,t:42491
x:-349.20,y:-437.00,z:186.00,t:42496
x:-653.20,y:437.00,z:-266.20,t:42500
x:-514.40,y:960.00,z:-582.40,t:42504
x:-251.00,y:949.20,z:-783.80,t:42508
x:135.40,y:509.60,z:-513.80,t:42511
x:12.60,y:-86.20,z:-144.20,t:42515
x:333.80,y:-216.00,z:322.20,t:42519
x:94.00,y:-303.60,z:615.40,t:42523
x:167.20,y:-340.20,z:467.20,t:42527
x:-96.60,y:-47.80,z:434.80,t:42531
x:-9.60,y:81.60,z:104.60,t:42534
x:444.60,y:-74.80,z:-5.60,t:42539
x:-289.20,y:639.60,z:-199.20,t:42543
x:101.20,y:347.40,z:-274.60,t:42547
x:580.80,y:-223.20,z:-128.00,t:42551
x:751.80,y:-684.20,z:157.20,t:42555
x:348.60,y:-956.40,z:288.40,t:42559
x:-303.60,y:-574.20,z:26.00,t:42562
x:-668.60,y:251.80,z:-281.40,t:42566
x:-649.80,y:736.60,z:-537.80,t:42570
x:-345.60,y:759.20,z:-586.00,t:42574
x:175.60,y:97.20,z:-347.20,t:42578
x:481.80,y:-508.20,z:190.40,t:42583
x:256.20,y:-550.80,z:737.80,t:42587
x:248.40,y:-90.20,z:495.20,t:42591
x:229.80,y:56.00,z:276.40,t:42594
x:70.00,y:-2.80,z:223.80,t:42598
x:-20.00,y:-28.00,z:115.60,t:42602
x:230.80,y:195.60,z:-332.20,t:42606
x:419.20,y:-150.40,z:-393.20,t:42610
x:379.40,y:-302.00,z:-466.40,t:42614
x:93.80,y:-176.40,z:-402.20,t:42617
x:-433.00,y:-73.20,z:-167.00,t:42621
