x:-625.20,y:-581.80,z:675.00,t:221656
x:655.60,y:590.60,z:-373.00,t:221660
x:-273.40,y:-462.80,z:442.00,t:221664
x:552.00,y:642.60,z:-407.60,t:221668
x:-80.80,y:-495.20,z:183.20,t:221672
x:125.80,y:637.20,z:-374.80,t:221675
x:-277.80,y:-410.60,z:170.80,t:221679
x:-439.20,y:261.60,z:-32.40,t:221683
x:170.60,y:-136.20,z:-3.60,t:221687
x:-280.20,y:80.80,z:184.00,t:221691
x:480.60,y:32.60,z:-113.00,t:221696
x:-409.20,y:-138.80,z:321.40,t:221700
x:488.00,y:-18.40,z:-140.80,t:221704
x:-551.00,y:-329.60,z:433.00,t:221708
x:400.40,y:292.40,z:-256.40,t:221712
x:-685.20,y:-420.00,z:350.20,t:221716
x:512.20,y:579.80,z:-371.00,t:221719
x:-354.80,y:-380.40,z:184.00,t:221723
x:536.60,y:496.00,z:-252.20,t:221727
x:-395.60,y:-804.40,z:282.00,t:221731
x:202.80,y:768.80,z:-501.00,t:221735
x:-398.80,y:-617.00,z:357.20,t:221740
x:165.20,y:844.00,z:-343.20,t:221744
x:-34.80,y:-670.00,z:240.60,t:221748
x:137.20,y:436.60,z:-247.00,t:221752
x:276.20,y:-268.60,z:-31.80,t:221756
x:-255.00,y:540.80,z:18.00,t:221760
x:298.00,y:-44.40,z:-208.80,t:221764
x:-293.00,y:76.40,z:22.80,t:221767
x:535.80,y:-163.80,z:-7.00,t:221771
x:-527.80,y:-190.20,z:283.80,t:221775
x:423.20,y:230.40,z:-255.40,t:221779
x:-759.60,y:-69.80,z:284.40,t:221784
x:547.80,y:490.00,z:-323.60,t:221788
x:-535.00,y:-216.60,z:283.80,t:221792
x:474.80,y:357.20,z:-319.20,t:221796
x:-546.00,y:-605.40,z:329.20,t:221800
x:506.80,y:387.60,z:-333.40,t:221804
x:-445.60,y:-558.20,z:368.40,t:221808
x:583.80,y:479.40,z:-313.00,t:221812
x:-352.40,y:-614.40,z:366.00,t:221816
x:368.20,y:457.20,z:-172.80,t:221819
x:-355.20,y:-544.20,z:198.00,t:221824
x:233.00,y:699.60,z:-312.60,t:221828
x:-112.60,y:223.80,z:-1.20,t:221832
x:198.00,y:658.80,z:-284.80,t:221836
x:36.40,y:-243.40,z:41.80,t:221840
x:-74.80,y:555.60,z:-148.00,t:221844
x:123.00,y:-360.80,z:183.20,t:221848
x:-227.40,y:95.60,z:-209.20,t:221852
x:303.00,y:-427.60,z:-98.40,t:221856
