x:-523.80,y:-52.20,z:-214.60,t:82436
x:74.20,y:-224.20,z:-113.80,t:82440
x:134.40,y:28.00,z:199.00,t:82443
x:-44.60,y:-236.40,z:-295.80,t:82447
x:3.80,y:-436.80,z:196.60,t:82451
x:-130.80,y:696.40,z:-329.80,t:82455
x:6.20,y:-226.20,z:290.00,t:82459
x:-150.80,y:-49.40,z:230.40,t:82463
x:-299.80,y:-362.00,z:-149.60,t:82466
x:474.60,y:66.20,z:58.60,t:82470
x:-132.40,y:466.00,z:-262.40,t:82475
x:59.60,y:-168.40,z:324.20,t:82479
x:-269.60,y:224.00,z:114.20,t:82483
x:37.80,y:-667.00,z:-234.60,t:82487
x:452.40,y:81.00,z:155.00,t:82490
x:-531.60,y:38.00,z:-390.40,t:82494
x:391.40,y:-85.60,z:452.20,t:82498
x:-334.40,y:357.80,z:77.20,t:82502
x:102.80,y:-323.80,z:-93.60,t:82506
x:36.00,y:226.20,z:-6.80,t:82510
x:8.00,y:-645.40,z:29.60,t:82513
x:411.00,y:318.60,z:21.60,t:82518
x:-585.20,y:278.20,z:-520.60,t:82522
x:465.00,y:171.80,z:487.40,t:82526
x:-295.20,y:77.80,z:-160.60,t:82530
x:471.60,y:-295.80,z:11.60,t:82534
x:-121.40,y:99.40,z:330.20,t:82537
x:-454.40,y:-220.00,z:-264.60,t:82541
x:394.20,y:538.20,z:-7.80,t:82545
x:-398.00,y:7.60,z:-402.00,t:82549
x:549.20,y:-129.20,z:230.00,t:82553
x:211.80,y:135.00,z:179.40,t:82557
x:221.20,y:168.40,z:-323.80,t:82561
x:173.80,y:-190.20,z:466.20,t:82565
x:-124.80,y:544.00,z:-387.80,t:82569
x:81.20,y:-85.00,z:385.80,t:82573
x:-72.60,y:-107.80,z:194.40,t:82577
x:-158.40,y:-100.00,z:-319.40,t:82581
x:273.00,y:-79.60,z:108.40,t:82585
x:-232.60,y:464.20,z:-377.60,t:82589
x:4.60,y:-434.60,z:354.00,t:82592
x:-302.40,y:130.80,z:101.40,t:82596
x:-64.00,y:-707.20,z:-138.40,t:82600
x:591.40,y:151.60,z:38.80,t:82605
x:-546.20,y:135.20,z:-275.20,t:82609
x:211.60,y:-150.80,z:487.40,t:82613
x:-163.40,y:371.20,z:38.00,t:82616
x:-63.60,y:-553.60,z:-50.40,t:82620
x:499.60,y:89.40,z:158.80,t:82624
x:-633.60,y:149.20,z:-620.40,t:82628
x:420.20,y:128.20,z:572.60,t:82632
x:-653.80,y:294.00,z:-345.60,t:82636
x:478.40,y:-629.20,z:183.80,t:82640
x:135.40,y:205.60,z:39.60,t:82643
x:-492.40,y:-264.40,z:-378.40,t:82648
x:483.40,y:162.40,z:285.20,t:82652
x:-389.40,y:-117.60,z:-295.00,t:82656
x:639.40,y:136.40,z:196.60,t:82660
x:-185.80,y:-167.40,z:203.80,t:82664
x:21.20,y:-383.80,z:-62.00,t:82668
x:-338.60,y:-81.20,z:201.00,t:82672
x:-95.60,y:-282.80,z:-114.40,t:82675
x:-53.80,y:99.80,z:203.80,t:82679
x:-456.80,y:142.80,z:-149.60,t:82683
x:141.80,y:-312.00,z:-47.00,t:82688
x:181.00,y:-164.20,z:186.80,t:82692
x:95.80,y:620.20,z:-330.40,t:82696
x:-46.40,y:-375.20,z:418.60,t:82699
x:-334.60,y:94.00,z:73.20,t:82703
x:214.80,y:-402.40,z:-70.20,t:82707
x:565.20,y:202.00,z:74.00,t:82711
x:-413.80,y:279.00,z:-313.40,t:82715
x:11.60,y:-30.00,z:334.00,t:82719
x:-289.00,y:531.20,z:-226.60,t:82722
x:107.80,y:-360.80,z:-47.80,t:82726
x:122.60,y:73.00,z:189.20,t:82731
x:-35.20,y:-465.20,z:-126.20,t:82735
x:249.80,y:116.60,z:160.00,t:82739
x:-378.00,y:131.60,z:-636.40,t:82743
x:268.20,y:-280.00,z:637.80,t:82747
x:-402.20,y:239.40,z:-185.00,t:82751
x:410.60,y:-912.60,z:256.80,t:82754
x:300.40,y:256.00,z:-69.00,t:82758
x:-438.00,y:-124.80,z:-355.00,t:82762
x:440.40,y:110.80,z:393.80,t:82766
x:-422.20,y:68.40,z:-430.40,t:82770
x:666.00,y:-2.60,z:195.80,t:82775
x:-207.40,y:13.40,z:184.80,t:82778
x:-70.80,y:-354.00,z:-130.40,t:82782
x:-6.80,y:337.60,z:168.20,t:82786
x:-447.60,y:-112.80,z:-241.20,t:82790
x:627.80,y:287.60,z:64.40,t:82794
x:-379.20,y:-153.40,z:-44.20,t:82798
x:120.60,y:-421.40,z:-37.00,t:82801
x:-4.20,y:-264.60,z:358.00,t:82805
x:137.80,y:242.80,z:-392.80,t:82809
x:18.80,y:-270.80,z:346.80,t:82813
x:-574.40,y:345.60,z:-134.40,t:82818
x:-3.60,y:-244.60,z:-65.20,t:82822
x:452.80,y:-235.20,z:86.20,t:82825
x:-232.20,y:-29.40,z:-347.40,t:82829
x:72.80,y:-125.40,z:333.40,t:82833
