-x:250.20,y:1617.60,z:-234.20,t:131474
x:672.20,y:515.40,z:-353.40,t:132236

x:-474.00,y:-1496.40,z:388.00,t:132240

x:-201.40,y:926.40,z:244.00,t:132244

x:-16.20,y:349.60,z:-701.80,t:132248

x:-333.60,y:-425.40,z:326.00,t:132252

x:425.80,y:658.00,z:-128.20,t:132255

x:-535.80,y:-314.00,z:123.60,t:132259

x:184.20,y:90.80,z:-113.80,t:132263

x:220.00,y:-349.80,z:85.40,t:132268

x:-415.00,y:361.60,z:108.60,t:132272

x:452.40,y:-67.80,z:-292.40,t:132276

x:-179.60,y:-369.60,z:194.80,t:132280

x:-1.80,y:807.80,z:-145.60,t:132284

x:172.60,y:-245.80,z:-233.60,t:132288

x:-438.00,y:-152.20,z:324.20,t:132292

x:506.60,y:1388.80,z:-450.00,t:132296

x:173.20,y:-1242.00,z:-144.20,t:132300

x:-377.60,y:118.20,z:693.00,t:132304

x:-0.80,y:980.00,z:-943.20,t:132307

x:-238.80,y:-1348.40,z:221.80,t:132312

x:148.40,y:439.40,z:257.80,t:132316

x:-150.80,y:45.00,z:-236.40,t:132320

x:-336.60,y:-450.40,z:262.40,t:132324

x:579.60,y:660.80,z:-304.60,t:132328

x:-45.00,y:49.00,z:-53.00,t:132332

x:245.60,y:240.00,z:-222.80,t:132336

x:100.60,y:-427.00,z:142.80,t:132340

x:-184.80,y:574.20,z:-5.80,t:132344

x:229.60,y:-155.60,z:-261.60,t:132348

x:-251.20,y:-451.00,z:238.60,t:132352

x:-91.40,y:389.00,z:259.40,t:132356

x:362.60,y:-412.00,z:-194.20,t:132360

x:-460.60,y:-66.40,z:583.80,t:132364

x:12.20,y:1461.80,z:-660.80,t:132368

x:-397.00,y:-520.40,z:1004.60,t:132372

x:924.20,y:671.20,z:-429.60,t:132376

x:-280.80,y:-1415.80,z:160.40,t:132380

x:-220.00,y:417.00,z:449.60,t:132384

x:-98.80,y:535.00,z:-569.40,t:132388

x:-425.00,y:-775.40,z:480.00,t:132392

x:520.00,y:970.00,z:-346.40,t:132397

x:-524.40,y:62.20,z:-4.20,t:132401

x:69.20,y:391.40,z:-318.00,t:132404

x:246.80,y:-274.20,z:84.00,t:132408

x:-214.60,y:525.80,z:69.20,t:132412

x:152.00,y:-260.60,z:-397.60,t:132416

x:-368.80,y:-334.20,z:281.20,t:132420

x:-175.40,y:743.60,z:332.40,t:132424

x:338.40,y:-325.00,z:-300.80,t:132428

x:-439.20,y:-109.80,z:456.40,t:132432

x:516.40,y:1475.60,z:-363.80,t:132436

x:184.20,y:-1142.80,z:-333.40,t:132441

x:-277.80,y:176.40,z:902.80,t:132445

x:-39.40,y:1325.40,z:-993.00,t:132449

x:-274.60,y:-1156.80,z:174.80,t:132453

x:199.80,y:906.40,z:93.40,t:132457

x:20.80,y:476.40,z:-618.20,t:132461

x:-357.40,y:-603.00,z:274.80,t:132465

x:582.40,y:180.40,z:-188.60,t:132468

x:-598.80,y:-160.00,z:280.80,t:132472

x:167.20,y:319.40,z:-415.00,t:132476

x:-119.80,y:-568.40,z:291.00,t:132481

x:124.60,y:127.40,z:-373.80,t:132485

x:-29.60,y:-440.80,z:48.00,t:132489

x:-228.80,y:-580.60,z:281.00,t:132493

x:325.60,y:-234.00,z:-352.60,t:132497

x:-470.80,y:-656.00,z:496.60,t:132501

x:250.80,y:1394.60,z:-136.40,t:132505

x:388.00,y:-917.40,z:-618.20,t:132509

x:-477.00,y:-195.40,z:704.20,t:132513

x:263.60,y:1295.20,z:-576.60,t:132517

x:-66.40,y:-1119.60,z:-96.20,t:132521

x:58.80,y:237.20,z:389.60,t:132526

x:-4.20,y:156.80,z:-300.00,t:132529

x:-261.80,y:-629.20,z:256.60,t:132533

x:640.20,y:198.40,z:-244.40,t:132537

x:-484.00,y:-259.60,z:239.20,t:132541

x:161.00,y:248.00,z:-338.20,t:132545

