x:430.80,y:-786.00,z:933.40,t:74720
x:96.00,y:-898.40,z:615.60,t:74723
x:124.20,y:-1036.60,z:239.20,t:74727
x:132.20,y:-106.00,z:-78.20,t:74731
x:328.00,y:1520.60,z:-761.20,t:74735
x:493.00,y:2139.60,z:-1081.00,t:74739
x:337.40,y:1029.60,z:-465.60,t:74743
x:318.00,y:161:6.00,y:1734.20,z:-916.00,t:80786
x:375.00,y:1535.40,z:-757.80,t:80790
128.40,t:80779
x:28.40,y:486.00,z:-557.80,t:80782
x:296.00,y:1734.20,z:-916.00,t:80786
x:375.00,y:1535.40,z:-757.80,t:80790
x:356.40,y:476.20,z:-31.20,t:80794
x:9.40,y:-340.80,z:555.20,t:80798
x:-304.80,y:-825.60,z:240.60,t:80802
x:-394.40,y:-1125.00,z:128.20,t:80806
x:-487.20,y:-645.60,z:-203.80,t:80811
x:-559.00,y:-511.60,z:-98.40,t:80815
x:-325.20,y:-369.60,z:-58.60,t:80818
x:159.40,y:-574.60,z:330.60,t:80822
x:479.20,y:-452.80,z:485.20,t:80826
x:708.80,y:-155.40,z:385.20,t:80830
x:731.60,y:256.20,z:236.80,t:80834
x:127.60,y:618.60,z:-112.20,t:80838
x:-526.00,y:1254.00,z:-1313.20,t:80842
x:-617.80,y:1316.00,z:-1506.40,t:80846
x:-403.60,y:819.80,z:-798.20,t:80850
x:-171.20,y:-59.80,z:520.40,t:80855
x:-74.60,y:-710.60,z:1099.00,t:80859
x:216.80,y:-1273.60,z:1205.20,t:80863
x:90.00,y:-1506.80,z:1272.80,t:80867
x:144.80,y:-1646.80,z:876.20,t:80871
x:-243.00,y:-2192.00,z:1303.00,t:80875
x:-256.00,y:-2447.00,z:969.80,t:80879
x:-245.20,y:-1322.40,z:432.80,t:80883
x:106.20,y:633.40,z:-242.40,t:80886
x:438.80,y:1675.80,z:-944.20,t:80890
x:537.80,y:1513.40,z:-885.40,t:80894
x:602.40,y:1110.00,z:-78.80,t:80899
x:696.20,y:982.00,z:78.40,t:80903
x:405.60,y:742.20,z:-4.60,t:80907
x:-309.60,y:518.80,z:-466.80,t:80911
x:-637.00,y:177.20,z:-396.60,t:80915
x:-297.60,y:-184.80,z:49.60,t:80919
x:-317.20,y:-852.80,z:784.40,t:80922
x:-110.40,y:-1480.00,z:790.20,t:80926
x:448.00,y:-1398.60,z:752.60,t:80930
x:707.60,y:-756.60,z:466.40,t:80934
x:516.60,y:-201.00,z:194.20,t:80939
x:205.80,y:391.80,z:-185.00,t:80943
x:-88.80,y:1159.20,z:-814.20,t:80947
x:-104.60,y:1328.00,z:-1280.80,t:80951
x:-95.40,y:1195.40,z:-1043.60,t:80955
x:-264.60,y:668.20,z:-273.40,t:80959
x:-233.40,y:-228.60,z:442.60,t:80963
x:-229.00,y:-1143.40,z:936.20,t:80967
x:-431.00,y:-1797.80,z:925.00,t:80971
x:-289.20,y:-1554.40,z:639.40,t:80975
