x:-7.00,y:-89.00,z:-67.00,t:5349
x:73.00,y:-53.00,z:-126.00,t:5353
x:-29.00,y:74.00,z:43.00,t:5358
x:35.00,y:36.00,z:64.00,t:5362
x:45.00,y:-100.00,z:95.00,t:5367
x:-21.00,y:57.00,z:-61.00,t:5371
x:20.00,y:-32.00,z:-36.00,t:5377
x:-17.00,y:-201.00,z:64.00,t:5381
x:-11.00,y:152.00,z:-43.00,t:5386
x:-71.00,y:100.00,z:-63.00,t:5391
x:59.00,y:8.00,z:-54.00,t:5395
x:-64.00,y:12.00,z:44.00,t:5399
x:-31.00,y:82.00,z:3.00,t:5404
x:-73.00,y:41.00,z:47.00,t:5408
x:-37.00,y:18.00,z:76.00,t:5413
x:132.00,y:8.00,z:-114.00,t:5417
x:65.00,y:12.00,z:-81.00,t:5423
x:47.00,y:-41.00,z:50.00,t:5427
x:22.00,y:36.00,z:-63.00,t:5432
x:-43.00,y:83.00,z:-108.00,t:5436
x:49.00,y:204.00,z:-19.00,t:5441
x:132.00,y:-57.00,z:55.00,t:5446
x:-16.00,y:0.00,z:-70.00,t:5450
x:-74.00,y:156.00,z:-31.00,t:5454
x:-1.00,y:-64.00,z:-33.00,t:5459
x:78.00,y:-39.00,z:-56.00,t:5464
x:-9.00,y:112.00,z:7.00,t:5469
x:9.00,y:-3.00,z:35.00,t:5473
x:-32.00,y:-70.00,z:27.00,t:5478
x:-21.00,y:-59.00,z:-9.00,t:5482
x:18.00,y:29.00,z:47.00,t:5487
x:-20.00,y:-7.00,z:46.00,t:5491
x:-53.00,y:7.00,z:21.00,t:5496
x:61.00,y:22.00,z:-38.00,t:5500
x:15.00,y:-55.00,z:48.00,t:5505
x:33.00,y:-46.00,z:19.00,t:5510
x:88.00,y:22.00,z:-94.00,t:5514
x:-18.00,y:60.00,z:-135.00,t:5519
x:-78.00,y:69.00,z:-9.00,t:5523
x:152.00,y:-74.00,z:-63.00,t:5528
x:-18.00,y:64.00,z:38.00,t:5532
x:-8.00,y:179.00,z:73.00,t:5537
