x:-13.00,y:40.60,z:-46.60,t:98195
x:-50.60,y:-120.00,z:-10.00,t:98199
x:-46.80,y:-67.40,z:-44.40,t:98203
x:48.20,y:-2.40,z:71.00,t:98206
x:53.20,y:137.40,z:32.40,t:98210
x:-8.20,y:32.00,z:-44.60,t:98214
x:-27.80,y:-84.60,z:-53.00,t:98219
x:-72.80,y:-126.40,z:-7.40,t:98222
x:-4.80,y:-15.80,z:70.60,t:98226
x:14.40,y:103.40,z:10.20,t:98230
x:-9.60,y:29.00,z:-44.60,t:98233
x:-29.80,y:-24.80,z:-30.60,t:98237
x:7.60,y:-77.40,z:1.20,t:98241
x:34.80,y:-23.00,z:43.40,t:98244
x:-16.00,y:83.80,z:36.00,t:98248
x:-41.40,y:38.40,z:-23.60,t:98252
x:-12.20,y:-69.80,z:-53.60,t:98255
x:23.80,y:-49.40,z:3.80,t:98259
x:31.00,y:-15.80,z:30.80,t:98264
x:31.00,y:85.40,z:47.20,t:98267
x:-37.80,y:82.60,z:-12.20,t:98271
x:-67.00,y:4.60,z:-40.40,t:98275
x:1.80,y:-105.20,z:-56.80,t:98279
x:30.40,y:-33.00,z:-0.40,t:98282
x:62.60,y:106.20,z:85.20,t:98286
x:-44.80,y:56.60,z:32.40,t:98290
x:-85.00,y:17.60,z:-68.80,t:98293
x:-48.20,y:-125.40,z:-65.20,t:98297
x:-2.60,y:-57.60,z:-24.20,t:98301
x:75.40,y:60.60,z:55.60,t:98305
x:41.60,y:98.20,z:82.20,t:98309
x:-65.40,y:41.80,z:2.20,t:98313
x:-74.00,y:-129.80,z:-41.80,t:98317
x:-18.00,y:-57.80,z:-31.40,t:98320
x:64.40,y:61.00,z:45.20,t:98324
x:55.60,y:180.20,z:43.00,t:98328
x:-4.40,y:48.20,z:35.60,t:98331
x:-77.60,y:-65.20,z:-42.00,t:98335
x:-48.00,y:-122.20,z:-50.60,t:98339
x:22.80,y:16.00,z:-13.80,t:98343
x:101.00,y:157.20,z:46.60,t:98347
x:12.20,y:91.00,z:39.40,t:98351
x:-57.00,y:-38.40,z:-21.40,t:98355
x:-74.00,y:-171.00,z:-62.60,t:98359
x:-18.40,y:-56.80,z:-23.20,t:98362
x:67.80,y:143.40,z:52.40,t:98366
x:49.60,y:49.60,z:59.40,t:98370
