x:843.00,y:66.40,z:707.20,t:19760
x:-333.00,y:-211.80,z:223.40,t:19764
x:-551.40,y:-60.20,z:-428.00,t:19768
x:10.80,y:57.60,z:-476.00,t:19772
x:38.60,y:111.20,z:399.20,t:19776
x:-668.00,y:-1011.20,z:764.40,t:19780
x:-281.60,y:-819.80,z:351.40,t:19784
x:1418.80,y:1420.40,z:-1183.40,t:19788
x:267.60,y:1069.20,z:-308.60,t:19792
x:-1214.60,y:-420.80,z:760.00,t:19796
x:-264.20,y:-2041.40,z:520.20,t:19801
x:725.20,y:161.80,z:-237.60,t:19804
x:272.40,y:984.40,z:-237.00,t:19808
x:239.40,y:767.20,z:-410.00,t:19812
x:-106.40,y:350.80,z:-224.60,t:19816
x:376.20,y:-441.60,z:49.80,t:19820
x:1000.80,y:-813.60,z:553.40,t:19824
x:274.80,y:-57.60,z:682.40,t:19828
x:-702.20,y:105.20,z:-0.60,t:19832
x:-865.60,y:179.80,z:-994.00,t:19835
x:56.40,y:-129.80,z:-222.20,t:19840
x:814.80,y:57.40,z:709.00,t:19844
x:208.40,y:259.00,z:334.20,t:19848
x:-596.40,y:-80.00,z:-83.60,t:19852
x:-181.80,y:166.40,z:-771.40,t:19856
x:374.60,y:57.20,z:-113.00,t:19860
x:-691.20,y:-220.20,z:504.60,t:19863
x:-590.60,y:-1321.80,z:613.80,t:19867
x:805.20,y:623.40,z:-426.40,t:19871
x:972.40,y:1453.00,z:-531.40,t:19875
x:-463.20,y:257.20,z:244.60,t:19879
x:-840.20,y:-1454.60,z:584.00,t:19884
x:-100.20,y:-1349.00,z:336.60,t:19888
x:589.40,y:614.80,z:-189.20,t:19892
x:70.20,y:797.40,z:-223.00,t:19896
x:-140.60,y:678.20,z:-700.20,t:19900
x:-412.60,y:444.60,z:-594.00,t:19904
x:401.60,y:-543.00,z:287.20,t:19908
x:1032.40,y:-361.40,z:812.40,t:19912
x:49.00,y:-333.20,z:602.40,t:19915
x:-820.20,y:-174.20,z:-171.00,t:19919
x:-571.20,y:85.40,z:-830.60,t:19923
x:726.60,y:-104.40,z:33.80,t:19928
x:755.80,y:420.40,z:570.00,t:19932
x:-263.40,y:18.80,z:215.20,t:19936
x:-381.60,y:-53.60,z:-325.80,t:19939
x:31.60,y:1.60,z:-458.00,t:19943
x:-566.00,y:-462.00,z:667.20,t:19947
x:-195.20,y:-1169.20,z:445.60,t:19951
x:-121.40,y:-1410.40,z:676.40,t:19955
x:1732.80,y:1385.00,z:-815.20,t:19959
x:341.00,y:1258.80,z:-322.80,t:19963
x:-899.40,y:-295.60,z:580.60,t:19968
x:-343.40,y:-1447.00,z:573.40,t:19972
x:51.80,y:-577.60,z:-57.40,t:19976
x:-12.60,y:108.40,z:195.20,t:19980
x:-185.00,y:890.20,z:-209.00,t:19983
x:-334.20,y:692.40,z:-849.40,t:19987
x:-13.40,y:230.60,z:-486.60,t:19991
x:786.20,y:-69.80,z:9.60,t:19995
x:-460.80,y:122.20,z:379.80,t:19999
x:-1090.00,y:-314.40,z:-556.20,t:20003
x:-1071.60,y:-197.40,z:-717.20,t:20007
x:-85.80,y:-73.00,z:-376.00,t:20012
x:621.20,y:25.80,z:629.20,t:20015
x:-471.40,y:-381.00,z:184.20,t:20019
x:-406.00,y:44.20,z:-646.40,t:20023
x:287.60,y:182.80,z:-308.00,t:20027
x:-545.40,y:113.20,z:482.00,t:20031
x:-839.00,y:-1686.00,z:738.40,t:20035
x:178.20,y:-387.00,z:263.80,t:20039
x:1589.00,y:1837.80,z:-1212.20,t:20043
x:1138.00,y:2152.40,z:-973.40,t:20047
