-x:-43.20,y:-46.20,z:-14.80,t:19013
x:-124.40,y:95.00,z:-18.00,t:20020

x:29.40,y:62.00,z:-14.00,t:20024

x:-14.40,y:-344.40,z:51.40,t:20028

x:-113.20,y:95.80,z:-18.40,t:20032

x:3.40,y:169.00,z:-54.20,t:20035

x:0.80,y:-330.60,z:45.00,t:20039

x:-145.80,y:141.00,z:-82.20,t:20043

x:76.00,y:69.20,z:16.00,t:20047

x:12.20,y:-88.20,z:36.00,t:20050

x:-113.00,y:89.40,z:-68.80,t:20055

x:25.60,y:-1.00,z:12.60,t:20059

x:10.80,y:-99.00,z:56.00,t:20062

x:-2.40,y:95.20,z:-99.80,t:20066

x:56.40,y:-169.00,z:94.40,t:20070

x:10.40,y:-16.00,z:17.20,t:20074

x:18.20,y:128.60,z:-86.80,t:20077

x:32.80,y:-112.00,z:76.60,t:20081

x:22.20,y:37.20,z:-0.80,t:20085

x:20.40,y:79.80,z:-3.20,t:20088

x:-19.40,y:-80.20,z:70.00,t:20092

x:8.40,y:-12.20,z:25.20,t:20097

x:36.60,y:24.80,z:-27.40,t:20100

x:-34.60,y:-108.40,z:6.20,t:20104

x:7.60,y:11.80,z:-12.00,t:20108

x:27.00,y:58.20,z:-37.00,t:20111

x:-34.60,y:-6.20,z:-14.20,t:20115

x:40.80,y:38.40,z:-29.40,t:20119

x:-33.00,y:-56.80,z:15.80,t:20123

x:-85.40,y:43.40,z:1.20,t:20126

x:50.00,y:45.60,z:-42.60,t:20130

x:-23.20,y:-192.00,z:17.20,t:20134

x:-40.00,y:136.80,z:6.40,t:20137

x:70.00,y:33.40,z:-30.40,t:20142

x:-43.40,y:-210.60,z:17.40,t:20146

x:-35.20,y:149.00,z:31.60,t:20150

x:79.00,y:73.40,z:-46.80,t:20153

x:-54.60,y:-235.60,z:55.40,t:20157

x:10.80,y:129.00,z:1.60,t:20161

x:-1.80,y:-122.40,z:-57.60,t:20164

x:-75.00,y:-220.20,z:41.20,t:20168

x:62.80,y:143.60,z:-4.80,t:20172

x:25.80,y:-62.40,z:-88.40,t:20176

x:-32.40,y:94.40,z:36.20,t:20179

x:126.40,y:92.80,z:-61.00,t:20184

x:-60.40,y:-138.00,z:8.40,t:20188

x:-40.40,y:133.60,z:9.40,t:20192

x:159.00,y:118.00,z:-33.80,t:20195

x:-66.00,y:-91.00,z:-32.20,t:20199

x:-68.20,y:213.60,z:0.00,t:20203

x:157.60,y:2.00,z:-24.00,t:20206

x:-69.00,y:-138.00,z:-17.00,t:20210

x:-64.00,y:202.80,z:-24.20,t:20214

x:143.80,y:-30.60,z:-2.20,t:20218

x:-104.00,y:-58.20,z:-12.20,t:20221

x:10.20,y:190.80,z:0.60,t:20226

x:140.00,y:-42.60,z:52.00,t:20230

x:-82.40,y:47.40,z:-17.40,t:20234

x:-15.80,y:191.20,z:-35.20,t:20237

x:123.80,y:-210.60,z:61.00,t:20241

x:-58.20,y:-26.00,z:37.20,t:20245

x:7.00,y:210.00,z:-24.00,t:20249

x:25.40,y:-384.40,z:74.80,t:20252

x:-148.00,y:77.20,z:-29.20,t:20256

x:20.60,y:199.60,z:-51.00,t:20260

x:19.80,y:-262.60,z:27.00,t:20264

x:-147.40,y:122.00,z:-47.00,t:20268

x:-6.20,y:124.60,z:-55.20,t:20272

x:6.60,y:-125.60,z:26.20,t:20276

x:-77.00,y:116.80,z:-83.60,t:20280

x:18.00,y:7.00,z:33.20,t:20283

x:-14.00,y:-168.20,z:31.80,t:20287

x:-54.20,y:52.60,z:-46.80,t:20291

x:7.40,y:-19.80,z:48.40,t:20294

x:26.40,y:9.20,z:8.60,t:20298

x:-27.60,y:64.80,z:-55.60,t:20302

x:7.40,y:-37.20,z:76.00,t:20305

x:14.80,y:24.00,z:2.00,t:20310

x:45.40,y:91.40,z:2.20,t:20314

x:-31.80,y:-82.20,z:68.20,t:20317

x:6.00,y:4.60,z:4.40,t:20321

x:53.20,y:99.00,z:-12.60,t:20325

x:-23.80,y:-81.60,z:33.40,t:20328

x:22.60,y:11.00,z:40.80,t:20332

x:48.20,y:73.20,z:-57.60,t:20336

x:-55.40,y:-40.40,z:3.80,t:20339

x:26.40,y:66.40,z:-19.40,t:20343

x:35.20,y:3.80,z:-40.80,t:20347

x:-75.60,y:-1.20,z:7.60,t:20350

x:23.60,y:8.00,z:-0.20,t:20355

x:-15.00,y:-88.00,z:-6.00,t:20358

28.00,t:25442

